Dim1,Dim2,Dim3,Dim4,Dim5,classe
"0.166102472173781,1.24782874826766,0.889008538518017,1.02375018708212,-1.22946212804289,""2"""
"-0.475340775222525,0.646634392029002,0.354207430564676,-0.276173090022011,0.689879422648527,""1"""
"-0.463860008717918,0.566892037384385,0.216994831756006,-0.145291112582438,0.454251208169209,""1"""
"0.0762680140660228,0.135146525582996,-0.489603709845362,-0.242776006958045,-0.569291232082213,""1"""
"-0.3886337435343,-0.0519099052938633,-0.0662057028870108,0.033373944280912,0.616206746328649,""1"""
"-0.335638794399858,-0.12979770677326,-0.314002374166414,0.182152916703671,0.0279091117286881,""1"""
"-0.496985618037748,-0.125468057899758,-0.0176151010876839,0.272143469072295,0.400158134279543,""1"""
"0.00653488713380542,0.0224143209634748,-0.358124993702266,-0.130637868914659,-0.236037473269289,""1"""
"-0.451924252037194,0.0632304483813793,-0.464941286342486,0.0856250719788039,-0.22202508131125,""1"""
"-0.0914613690634014,-0.106961775624867,-0.010173851649114,-0.0863199977066486,-0.308153848880391,""1"""
"-0.432883862554834,0.364260536990651,-0.041008870881986,0.0560640351213868,0.106194798149678,""1"""
"-0.0078300712292257,0.0847619528140534,0.032665441023802,-0.208531604582365,0.522488466866181,""1"""
"1.05403600440837,-0.791699165728926,-0.063224692355429,-0.389161248131795,-0.024787733627359,""3"""
"-0.087727224097296,-0.190553340237847,0.308907991757743,0.137979330843852,0.309878230687284,""1"""
"-0.509515379810775,-0.0629482566732275,-0.378685039715045,0.286539442017648,0.106898981863139,""1"""
"0.0385759128304045,0.703098430558274,0.572296130147278,0.30490449039699,-0.0791747433850862,""2"""
"-0.416267185701252,0.593831327579801,0.184186693731223,-0.128638464509939,0.364604403345669,""1"""
"0.0742415827766138,1.31357120168626,1.20649509353219,1.93448186405689,-0.871619720292308,""2"""
"0.279289142908313,0.307796637619344,-0.384818026999314,-0.486959401537729,-0.160436244710959,""3"""
"-0.0338877353497241,0.010285908836046,-0.468417789988604,0.391848005245562,-0.579658400300426,""1"""
"-0.242499263747139,0.0105201092418644,-0.438679035196846,0.0670757508883309,-0.221891669382369,""1"""
"0.653963877537094,-0.643990618592855,-0.218140384671392,0.964200713030554,-0.0668097444061227,""3"""
"-0.420120371729083,-0.0565386425581771,-0.203787868737876,0.0251146229742326,-0.432265432317894,""1"""
"-0.392230581172476,0.584551604930009,-0.105364226112335,-0.45280341102549,-0.135663719830781,""1"""
"-0.392230581172476,0.584551604930005,-0.105364226112325,-0.452803411025487,-0.135663719830782,""1"""
"0.639430939797633,-0.0633214406565786,-0.475865298103202,-0.114467427794618,0.195048582291016,""3"""
"-0.325382559766211,0.0820403211383427,0.00522666420563479,-0.233539564539334,0.384842940768022,""1"""
"0.21683551472568,0.0693105910095078,-0.153253928625825,-0.239635771775373,0.168319901318828,""3"""
"0.296772289749664,-0.0483922717822871,-0.201288531668165,-0.307405959051838,-0.622958213295107,""3"""
"0.883712823783141,-0.137136794488156,-0.275085660118888,-0.40784294928488,0.223333555087082,""3"""
"-0.675190835169527,-0.0405010141366314,0.48017235600929,-0.0162501757116725,0.0643041627114328,""1"""
"0.247421107697766,0.00991194806965933,-0.315054829757546,-0.136028846015354,-0.163234276569096,""3"""
"-0.610895946847943,-0.656792644895548,0.61266794937474,-0.286096037976082,-0.408025876748506,""1"""
"-0.363203536853248,-0.181602078399505,-0.362681888137134,0.292132659265187,-0.126581759342368,""1"""
"1.28537738728387,0.0183078021397156,-0.293161842243199,-0.228220027652868,-0.140841260922048,""3"""
"-0.101971794721437,-0.0917939832798149,-0.00712608230668601,0.358379820155601,0.572810498643148,""1"""
"0.072778021963064,-0.271435503998136,-0.284287846915689,0.310029311152042,0.0807332758593153,""1"""
"0.865864988810157,0.0836272095390038,-0.126449473617339,0.283134823969052,0.854519827644505,""3"""
"0.169290306503031,-0.102444101507023,-0.355953954204316,-0.0119323957641009,-0.294468969002901,""3"""
"0.199133669047761,-0.176714308954248,-0.4446530638668,0.392082514430168,0.27498080031183,""3"""
"-0.262234911829345,-0.000134654080282749,-0.290216233063426,0.119236291193555,-0.0151686785054724,""1"""
"0.669032839824836,0.0965357823102296,-0.392314908321529,-0.269270512975278,-0.0690201831046106,""3"""
"-0.154210255584234,-0.18503307115952,-0.274619926095531,0.211045895740154,-0.0691142814806527,""1"""
"-0.327645046443018,-0.269155000062913,0.212590086917056,-0.288684787001405,0.245622911971425,""1"""
"-0.519082870010658,0.962670902199425,0.773914497083729,0.654005384612435,-0.292625870446019,""2"""
"-0.47525250438778,0.0884167264000413,-0.00948033465142475,0.252434316904243,-0.147179768578027,""1"""
"0.440036145809502,-0.0616526965009869,-0.505698409286658,0.0531235503868141,0.334797156035733,""3"""
"-0.248716291793201,0.0972643257078611,-0.0104047229209001,-0.203140627481665,0.449685270165981,""1"""
"-0.731481999356383,0.104481751968252,-0.0647974248150044,0.15050238929317,0.383256140275823,""1"""
"-0.295200781188125,-0.290254006638806,0.049502121016592,-0.00772676066069347,-0.18751326924521,""1"""
"-0.333179799284973,0.141336367239574,-0.2059510867074,0.208558240594827,-0.0159292877058167,""1"""
"-0.315610713836597,-0.154662788204104,-0.395490026161885,0.308785307337688,-0.216228564165898,""1"""
"0.175672090237476,-0.503319266831871,0.141532145753607,-0.358217630523912,0.109866545932348,""3"""
"-0.278155776237079,0.135255116354339,-0.387499802728941,-0.155478934684581,0.344831355229725,""1"""
"0.763375583885293,-0.292608642135694,-0.321479628530897,-0.0850502762742585,0.0250023065432674,""3"""
"-0.237076258144429,0.229112934210445,-0.579219806295155,-0.169454581473203,-0.398919608656078,""1"""
"0.286268516438038,-0.60854895671602,-0.455837704178918,1.02008637954374,0.509989693439747,""3"""
"-0.258942840158832,0.0167247099860936,-0.424846923116883,-0.0460365050146939,-0.396940914854249,""1"""
"-0.322232128371396,0.0511298575295861,-0.541643073638433,0.141439531127169,-0.224486416552758,""1"""
"-0.424581546055499,1.00147551127823,0.61398179555485,0.441067935778546,-0.558017742301541,""2"""
"1.31545957710468,0.865239741247612,0.420015473907824,0.0594162688618716,-0.401640067890671,""2"""
"-0.72216499602143,-0.0725967927881758,0.216907812379621,-0.397452316763433,0.0602704642408863,""1"""
"-0.338629958650548,0.11270371998266,-0.198735120887905,-0.290022110393896,0.0242618047067753,""1"""
"0.0431122299677559,0.00192801434614736,-0.410231129427268,0.142868275997842,0.346784674740917,""1"""
"0.443472332253653,-0.169391361966645,-0.48041638769852,-0.127025530824481,-0.096699381881921,""3"""
"1.14566508475781,0.077271241729989,-0.206540110831565,0.12510195948464,-0.0346667254351379,""3"""
"-0.0915704805416685,-0.482572758090093,0.393290774135872,-0.174736478725326,-0.385860809272309,""1"""
"-0.731481999356383,0.104481751968252,-0.0647974248150044,0.15050238929317,0.383256140275823,""1"""
"-0.648101841442913,0.0852773886765889,-0.287241752394566,0.16065693892382,0.138422642821123,""1"""
"-0.391003527577938,-0.166405803465529,-0.314760401425261,0.190087997677934,-0.100861952055348,""1"""
"0.671884654050398,-0.388883185721241,-0.177955282264911,0.596325708283314,0.0116383900586113,""3"""
"-0.674091863094904,-0.0129881602529233,-0.0364787363075736,0.174803004001076,0.292077660892135,""1"""
"-0.439036453615813,0.17031837655212,-0.0612552763895602,-0.211866358070713,0.353625894828542,""1"""
"-0.439036453615813,0.17031837655212,-0.0612552763895602,-0.211866358070713,0.353625894828542,""1"""
"0.393039503982789,-0.38959193607079,-0.0166023158934751,0.413189257571261,0.339938474280585,""3"""
"-0.475252504387778,0.088416726400041,-0.00948033465142448,0.252434316904243,-0.147179768578026,""1"""
"0.510021893856446,0.126015970232193,-0.464344792253325,-0.459181190718668,0.165523659969044,""3"""
"-0.00718187172746828,-0.783909712463276,0.39948961095735,0.109437536588652,-0.221042277288709,""1"""
"1.52408374293794,-0.00966474143529887,0.00959044863985296,-0.356905226440042,0.0298808407730914,""3"""
"-0.203286894957618,-0.195454516992116,-0.584207585268755,0.811733689631328,0.379609190570188,""1"""
"-0.173783821492667,0.180964837133073,-0.324365861234411,-0.366876078567574,-0.327320122946758,""1"""
"-0.713909334001446,0.130806293086938,-0.167148782565474,0.0079874021285517,0.552859059437806,""1"""
"0.318399242305236,-0.0871369053480101,-0.421460105079432,0.126224963525061,-0.0554904325862555,""3"""
"0.177182097446547,-0.183550246097306,0.031272933749624,-0.245773458400869,-0.659003545673118,""3"""
"-0.101520969748303,-0.0717001155046399,0.208849554916399,-0.550181918248032,-0.0343486464902442,""1"""
"0.401093506448488,-0.721520657181853,-0.082198241674053,0.457643252835287,-0.209721188198155,""3"""
"-0.231211237873956,-0.109507561603305,-0.433162874380098,0.567739456288771,0.440188159577675,""1"""
"0.0614679132908334,0.108301764035247,-0.29556725554744,-0.201110392323493,-0.0499323435524099,""1"""
"0.43774126952038,-0.0631421027745992,-0.264204276288887,-0.127303115426306,-0.067174901231658,""3"""
"-0.759046741809765,0.0526773803420112,-0.113476938785723,0.260482131854684,0.228765269204767,""1"""
"-0.474225256031996,0.0184279385765585,-0.222559086845943,0.0562704136098421,0.0594327726866836,""1"""
"1.18341325044749,0.393682868643802,0.0236547645094326,-0.182352857770361,0.996937530951004,""3"""
"0.222063100645313,-0.356476937969366,-0.243256946836978,0.28485317263734,-0.0863568391599007,""3"""
"-0.757548839820274,0.238846228349379,0.152323578954334,-0.171038984215784,0.632583063992241,""1"""
"-0.636980675401224,0.143286361047059,-0.224730126343884,-0.0624350595407186,0.117864268420301,""1"""
"0.295741352806833,-0.112494456177804,-0.00556328614581247,-0.166868378355071,0.218892167226954,""3"""
"-0.690118919122225,-0.196145549322716,0.569895231738991,-0.0713957066933091,-0.590011545421092,""1"""
"-0.333412399804353,-0.040227098410911,-0.401016648052701,-0.0108263723609243,-0.429786015229723,""1"""
"-0.464161895639787,-0.223385433796397,0.240027541016152,-0.314392800679024,0.0913065444553265,""1"""
"-0.278047666626278,-0.00361900171864452,-0.400258620793853,-0.0187614533351835,-0.301014951445686,""1"""
"-0.537439722727117,0.0229986987155796,-0.227640328826379,0.0425452086750966,0.167477950870615,""1"""
"-0.48069393083217,-0.248855888462237,0.596157482884621,-0.0899450277837722,-0.589878133492216,""1"""
"-0.185746212451386,0.0328648558781428,-0.212297060925986,0.0675320845816486,0.0425891645633401,""1"""
"0.213298625368106,-0.0568443306250117,-0.321106552313563,-0.00879988242258938,0.0350711475400328,""3"""
"-0.305402093996945,0.20199064202863,0.15924717581341,-0.351263197989094,0.693140940018697,""1"""
"-0.028238657077101,-0.163835446130808,-0.56219599989614,0.379273078291377,0.248244128643589,""1"""
"-0.200526320964649,0.443784632742061,0.510436974868045,0.286983856515142,-0.657517271116708,""2"""
"0.148120006267479,0.439572210030788,-0.586668793757529,-0.3131637238506,-0.154034462198416,""1"""
"-0.422420911015188,0.831914189710247,0.255440770600895,0.568098648838917,-0.373533551934401,""2"""
"1.29826517931548,0.184425119430602,-0.160183558144094,-0.224719536911206,-0.236283419427309,""3"""
"0.0222659735692996,0.161642241947271,0.110406146678952,0.216482962060584,-0.176192670918154,""1"""
"0.532241177433578,0.943020091958177,0.742095646856437,-0.284426023759548,0.74310957172055,""2"""
"0.0315645163244799,-0.394941248884689,0.00817433561392954,0.0233776192364521,-0.0684890320677817,""1"""
"-0.4694540633599,-0.594184055673423,0.540071697129153,-0.305086625659787,-0.165978368407959,""1"""
"-0.161781362763716,-0.226255078391527,0.105767426440192,0.153458871398961,0.0509649974995229,""1"""
"0.238138443107221,0.189156281354382,-0.450451686991028,-0.162987314643336,0.0994830799244822,""3"""
"0.225025321210899,-0.454103961521336,0.6672570174395,-0.464974924563823,0.203440622451238,""3"""
"-0.541161837533773,0.0314277011239932,-0.0139468713463447,0.159228119882218,0.479315515613262,""1"""
"0.0251851989464206,-0.298374794193538,-0.251479708890935,0.293376663079544,0.170380080682846,""1"""
"-0.183586054281899,-0.730752663253087,0.738460267959747,-0.405899371039012,-0.157342218411134,""1"""
"0.46447873160927,-0.0193700829464771,-0.126451552294398,-0.0629104076479121,0.0752363848824966,""3"""
"-0.242499263747139,0.0105201092418649,-0.438679035196846,0.0670757508883313,-0.22189166938237,""1"""
"-0.591133775142005,0.620762922967332,0.227951192534343,0.478886784604194,-0.496412500304835,""1"""
"-0.149113792764947,-0.0986394057000405,0.241657692941154,-0.56683456632053,0.0552981583332866,""1"""
"0.0165363403299426,0.107910786288813,-0.273515307765751,-0.358150347978527,-0.23126074760932,""1"""
"1.20075005295134,-0.237341607424707,0.571108908440704,-0.312802165872616,-0.205352840768327,""3"""
"0.851865631629447,0.321332404535796,-0.200537979081354,-0.349067007009022,0.195437959417794,""3"""
"-0.264390021392083,-0.247024092132852,-0.123140972136444,0.330617758473913,-0.185029043514389,""1"""
"0.29393976955172,-0.0476383229715084,-0.0732621148226278,-0.464173108618807,0.100126349248515,""3"""
"-0.0686226783362224,-0.0563293408581655,-0.373996369648223,-0.0373107744256466,-0.30088153951681,""1"""
"-0.524718261122081,0.0252231003797645,-0.0277789834263083,0.272340375785243,0.65436476108514,""1"""
"-0.363203536853244,-0.181602078399503,-0.362681888137131,0.292132659265189,-0.126581759342367,""1"""
"-0.472921756382408,-0.156095617359173,0.00103371816278153,0.339296200655367,0.263305849218545,""1"""
"-0.172860567396851,0.135756043997494,-0.381265210906855,-0.212968636254052,-0.475531835432783,""1"""
"0.869377758490243,1.03801024126163,0.554909477742731,0.162796663442469,0.443963601622547,""2"""
"-0.234048314776033,0.0776402697933922,0.26932043936506,0.0147307582561552,-0.549633355373385,""1"""
"0.827149646207011,-0.303502130815396,-0.252946338128981,-0.326289133922682,-0.159090493322477,""3"""
"-0.580689511214369,-0.001696405057826,0.320239654480408,-0.229187624545562,-0.201087709144089,""1"""
"-0.343217615748362,0.0584597166290547,0.149527978607979,0.0097968213522233,0.715077142021503,""1"""
"0.00653488713380336,0.0224143209634761,-0.358124993702259,-0.130637868914662,-0.236037473269284,""1"""
"0.934261010581705,0.0194762419340745,-0.099311653655131,-0.0870164140703791,0.0223958728871744,""3"""
"-0.331736849243718,-0.0212826380155278,0.012315379799285,0.140678798791755,0.479448927542138,""1"""
"0.188707118639437,-0.0750363144962103,-0.344758317783475,0.0704105043766866,-0.0530290973447442,""3"""
"0.231157993306695,-0.204907365536398,0.283133880573473,0.36889027260689,0.267736666482545,""3"""
"0.591599269691496,0.0921252229574821,-0.119892574700026,0.0288752759311772,0.0313242563591158,""3"""
"-0.103483179230668,0.266929216055682,-0.154071948061843,-0.119647287577754,0.0759956362503995,""1"""
"-0.622537195039132,-0.216857497507822,-0.0731487723643013,-0.105289424826703,-0.346143635319884,""1"""
"0.589880593647114,0.181848728610121,-0.175666431010572,-0.0851279045432224,0.0549741494048957,""3"""
"-0.153101107226245,0.00318677382303972,-0.125724069680495,-0.204294529107598,-0.517002099552585,""1"""
"-0.578528876174058,-0.17125772662581,-0.0383013704735461,-0.102156911485191,-0.0166035187769497,""1"""
"0.621269202987942,0.290507933867031,0.0829536841003845,-0.425978788402746,0.00703314620303643,""3"""
"0.196846536959704,-0.752482926468598,0.564672448779457,-0.23159070769041,-0.471494132212912,""3"""
"0.244140759811909,0.206960762592511,0.0655842550822331,-0.267480039675051,-0.32238336687545,""3"""
"-0.421851785902421,0.258552550455763,0.41725569970628,-0.298125220429935,0.144734175500071,""1"""
"0.583876969597872,-0.0814472943706277,-0.354738175664808,0.0416235996250931,0.105413008998709,""3"""
"-0.34752195001423,0.594096172331399,0.115405471780288,-0.383162521181157,0.29758720100178,""1"""
"0.0871076720007783,-0.24681479043284,-0.29334947304679,0.268192361074034,-0.0536451507133026,""1"""
"0.37047549499387,-0.222991909186523,0.107151235719091,-0.267817083574059,-0.4965535441494,""3"""
"-0.0663931353015146,0.019498317970306,-0.322952848995318,-0.240235524442754,-0.514522682464412,""1"""
"0.0835459754829923,0.162257863495028,-0.295127809369663,-0.259154799765241,-0.079467680774693,""1"""
"-0.23114829028215,-0.257529773937422,-0.15061739653244,0.541516081076394,0.345991735785961,""1"""
"0.807075569182945,-0.250915618147248,-0.213855193293355,-0.115024833680479,-0.0262421903410295,""3"""
"0.0821455051052467,-0.162507140756328,-0.213861455707986,0.117347781666397,-0.0477469550231932,""1"""
"-0.636980675401224,0.143286361047059,-0.224730126343884,-0.0624350595407186,0.117864268420301,""1"""
"-0.548858942877612,0.0271249842837397,0.164544888326864,-0.557010975819114,-0.0408946289330291,""1"""
"0.618512805467969,-0.0960278412806174,0.0467797511313318,0.180549127506054,0.0913879089325834,""3"""
